soil_type,fertilizer_type,crop_stage,stress_level,fertilizer_kg,irrigation_count,pesticide_sprays,avg_temp,rainfall,humidity,wind_speed,ndvi,yield
loamy,urea,vegetative,low,50,4,1,28.5,120,68,3.2,0.71,4.2
loamy,dap,flowering,medium,60,5,2,29,90,62,2.8,0.68,4.8
clay,organic,vegetative,low,45,3,1,27,150,75,3.5,0.73,4
black,urea,flowering,high,70,6,3,31.5,60,55,4,0.6,3.5
sandy,compost,sowing,medium,40,2,1,26,110,70,2,0.55,2.8
loamy,organic,harvest,low,55,4,2,30,80,60,3.1,0.75,5.1
clay,dap,vegetative,medium,65,5,2,28,95,64,3.3,0.69,4.4
black,urea,harvest,low,80,6,2,32,50,48,4.5,0.78,5.6
sandy,organic,vegetative,high,35,2,1,34,40,45,5,0.42,2.1
loamy,compost,flowering,low,58,4,1,27.5,140,72,2.4,0.7,4.9
clay,urea,sowing,medium,48,3,1,25,160,80,3,0.5,3
black,dap,flowering,medium,75,5,2,30.5,70,58,3.8,0.66,4.3
sandy,urea,harvest,high,42,2,1,35,30,40,5.2,0.38,1.9
loamy,organic,vegetative,medium,52,4,1,29,100,65,3,0.67,4.1
clay,compost,flowering,low,60,5,2,27.8,130,70,2.7,0.72,4.7
black,urea,vegetative,medium,68,5,2,31,85,55,4.1,0.63,3.9
sandy,dap,flowering,medium,45,3,2,33,45,50,4.6,0.49,2.4
loamy,urea,harvest,low,62,5,2,29.5,90,60,3.2,0.76,5.2
clay,organic,harvest,low,58,4,2,28.2,110,68,3,0.74,5
black,compost,vegetative,high,70,6,3,32.5,65,52,4.3,0.61,3.4
sandy,organic,sowing,low,30,2,1,24.5,180,82,2.2,0.52,2.5
loamy,dap,vegetative,medium,64,5,2,28.7,105,66,3.1,0.69,4.3
clay,urea,flowering,medium,66,5,2,29.8,88,60,3.6,0.65,4.1
black,organic,harvest,low,72,6,2,31.2,55,50,4.4,0.77,5.4
sandy,compost,vegetative,high,38,2,1,34.5,35,42,5.1,0.4,2
